5;34;31.9;83.632917;+;22;0;52;22.014444;M1;M 1;;;;
21;33;27.2;323.363333;-;0;49;22;-0.822778;M2;M 2;;;;
13;42;11.2;205.546667;+;28;22;34;28.376111;M3;M 3;;;;
16;23;35.5;245.897917;-;26;31;29;-26.524722;M4;M 4;;;;
15;18;33.8;229.640833;+;2;5;0;2.083333;M5;M 5;;;;
17;40;20.0;265.083333;-;32;15;30;-32.258333;M6;M 6;;;;
17;53;50.0;268.458333;-;34;47;36;-34.793333;M7;M 7;;;;
18;3;42.0;270.925000;-;24;22;48;-24.380000;M8;M 8;;;;
17;19;11.8;259.799167;-;18;30;57;-18.515833;M9;M 9;;;;
16;57;8.9;254.287083;-;4;5;56;-4.098889;M10;M 10;;;;
18;51;5.0;282.770833;-;6;16;12;-6.270000;M11;M 11;;;;
16;47;14.5;251.810417;-;1;56;50;-1.947222;M12;M 12;;;;
16;41;41.5;250.422917;+;36;27;39;36.460833;M13;M 13;;;;
17;37;36.1;264.400417;-;3;14;43;-3.245278;M14;M 14;;;;
21;29;58.3;322.492917;+;12;10;3;12.167500;M15;M 15;;;;
18;18;45.0;274.687500;-;13;47;54;-13.798333;M16;M 16;;;;
18;20;47.0;275.195833;-;16;10;18;-16.171667;M17;M 17;;;;
18;19;58.0;274.991667;-;17;6;6;-17.101667;M18;M 18;;;;
17;2;37.7;255.657083;-;26;16;3;-26.267500;M19;M 19;;;;
18;2;42.0;270.675000;-;22;58;18;-22.971667;M20;M 20;;;;
18;4;13.3;271.055417;-;22;30;0;-22.500000;M21;M 21;;;;
18;36;24.2;279.100833;-;23;54;10;-23.902778;M22;M 22;;;;
17;56;56.0;269.233333;-;19;0;42;-19.011667;M23;M 23;;;;
18;18;48.0;274.700000;-;18;33;0;-18.550000;M24;M 24;;;;
18;31;45.0;277.937500;-;19;7;12;-19.120000;M25;M 25;;;;
18;45;15.0;281.312500;-;9;23;6;-9.385000;M26;M 26;;;;
19;59;36.3;299.901250;+;22;43;18;22.721667;M27;M 27;;;;
18;24;32.9;276.137083;-;24;52;10;-24.869444;M28;M 28;;;;
20;24;6.0;306.025000;+;38;29;36;38.493333;M29;M 29;;;;
21;40;22.0;325.091667;-;23;10;43;-23.178611;M30;M 30;;;;
0;42;44.3;10.684583;+;41;16;8;41.268889;M31;M 31;;;;
0;42;41.8;10.674167;+;40;51;57;40.865833;M32;M 32;;;;
1;33;51.9;23.466250;+;30;39;29;30.658056;M33;M 33;;;;
2;42;5.0;40.520833;+;42;45;42;42.761667;M34;M 34;;;;
6;9;4.0;92.266667;+;24;21;0;24.350000;M35;M 35;;;;
5;36;17.7;84.073750;+;34;8;27;34.140833;M36;M 36;;;;
5;52;18.3;88.076250;+;32;33;11;32.553056;M37;M 37;;;;
